token	true	prediction
britain	I-LOC	I-LOC
and	O	O
france	I-LOC	I-LOC
that	O	O
under	O	O
laboratory	O	O
conditions	O	O
sheep	O	O
could	O	O
contract	O	O
bovine	I-MISC	I-MISC
spongiform	I-MISC	I-MISC
encephalopathy	I-MISC	I-MISC
(	O	O
bse	I-MISC	I-MISC
)	O	O
--	O	O
mad	O	O
cow	O	O
disease	O	O
.	O	O

but	O	O
fischler	I-PER	I-PER
agreed	O	O
to	O	O
review	O	O
his	O	O
proposal	O	O
after	O	O
the	O	O
eu	I-ORG	I-ORG
's	O	O
standing	O	O
veterinary	O	O
committee	O	O
,	O	O
$UNK$	O	I-ORG
animal	O	I-ORG
health	O	I-ORG
officials	O	O
,	O	O
questioned	O	O
if	O	O
such	O	O
action	O	O
was	O	O
justified	O	O
as	O	O
there	O	O
was	O	O
only	O	O
a	O	O
slight	O	O
risk	O	O
to	O	O
human	O	O
health	O	O
.	O	O

spanish	I-MISC	I-MISC
farm	O	O
minister	O	O
loyola	I-PER	I-PER
de	I-PER	I-PER
palacio	I-PER	I-PER
had	O	O
earlier	O	O
accused	O	O
fischler	I-PER	I-PER
at	O	O
an	O	O
eu	I-ORG	I-ORG
farm	O	O
ministers	O	O
'	O	O
meeting	O	O
of	O	O
causing	O	O
unjustified	O	O
alarm	O	O
through	O	O
"	O	O
dangerous	O	O
generalisation	O	O
.	O	O
"	O	O

.	O	O

only	O	O
france	I-LOC	I-LOC
and	O	O
britain	I-LOC	I-LOC
backed	O	O
fischler	I-PER	I-PER
's	O	O
proposal	O	O
.	O	O

the	O	O
eu	I-ORG	I-ORG
's	O	O
scientific	O	O
veterinary	O	O
and	O	O
multidisciplinary	O	O
committees	O	O
are	O	O
due	O	O
to	O	O
re-examine	O	O
the	O	O
issue	O	O
early	O	O
next	O	O
month	O	O
and	O	O
make	O	O
recommendations	O	O
to	O	O
the	O	O
senior	O	O
veterinary	O	O
officials	O	O
.	O	O

sheep	O	O
have	O	O
long	O	O
been	O	O
known	O	O
to	O	O
contract	O	O
scrapie	O	O
,	O	O
a	O	O
$UNK$	O	O
disease	O	O
similar	O	O
to	O	O
bse	I-MISC	I-MISC
which	O	O
is	O	O
believed	O	O
to	O	O
have	O	O
been	O	O
transferred	O	O
to	O	O
cattle	O	O
through	O	O
feed	O	O
containing	O	O
animal	O	O
waste	O	O
.	O	O

british	I-MISC	I-MISC
farmers	O	O
denied	O	O
on	O	O
thursday	O	O
there	O	O
was	O	O
any	O	O
danger	O	O
to	O	O
human	O	O
health	O	O
from	O	O
their	O	O
sheep	O	O
,	O	O
but	O	O
expressed	O	O
concern	O	O
that	O	O
german	I-MISC	I-MISC
government	O	O
advice	O	O
to	O	O
consumers	O	O
to	O	O
avoid	O	O
british	I-MISC	I-MISC
lamb	O	O
might	O	O
influence	O	O
consumers	O	O
across	O	O
europe	I-LOC	I-LOC
.	O	O

"	O	O
what	O	O
we	O	O
have	O	O
to	O	O
be	O	O
extremely	O	O
careful	O	O
of	O	O
is	O	O
how	O	O
other	O	O
countries	O	O
are	O	O
going	O	O
to	O	O
take	O	O
germany	I-LOC	I-LOC
's	O	O
lead	O	O
,	O	O
"	O	O
welsh	I-ORG	I-ORG
national	I-ORG	I-ORG
farmers	I-ORG	I-ORG
'	I-ORG	I-ORG
union	I-ORG	I-ORG
(	O	O
nfu	I-ORG	I-ORG
)	O	O
chairman	O	O
john	I-PER	I-PER
lloyd	I-PER	I-PER
jones	I-PER	I-PER
said	O	O
on	O	O
bbc	I-ORG	I-ORG
radio	I-ORG	I-ORG
.	O	O

bonn	I-LOC	I-LOC
has	O	O
led	O	O
efforts	O	O
to	O	O
protect	O	O
public	O	O
health	O	O
after	O	O
consumer	O	O
confidence	O	O
collapsed	O	O
in	O	O
march	O	O
after	O	O
a	O	O
british	I-MISC	I-MISC
report	O	O
suggested	O	O
humans	O	O
could	O	O
contract	O	O
an	O	O
illness	O	O
similar	O	O
to	O	O
mad	O	O
cow	O	O
disease	O	O
by	O	O
eating	O	O
contaminated	O	O
beef	O	O
.	O	O

germany	I-LOC	I-LOC
imported	O	O
47,600	O	O
sheep	O	O
from	O	O
britain	I-LOC	I-LOC
last	O	O
year	O	O
,	O	O
nearly	O	O
half	O	O
of	O	O
total	O	O
imports	O	O
.	O	O

it	O	O
brought	O	O
in	O	O
4,275	O	O
tonnes	O	O
of	O	O
british	I-MISC	I-MISC
mutton	O	O
,	O	O
some	O	O
10	O	O
percent	O	O
of	O	O
overall	O	O
imports	O	O
.	O	O

rare	O	O
hendrix	I-PER	I-PER
song	O	O
draft	O	O
sells	O	O
for	O	O
almost	O	O
$	O	O
17,000	O	O
.	O	O

london	I-LOC	I-LOC
$UNK$	O	O

a	O	O
rare	O	O
early	O	O
handwritten	O	O
draft	O	O
of	O	O
a	O	O
song	O	O
by	O	O
u.s.	I-LOC	I-LOC
guitar	O	O
legend	O	O
jimi	I-PER	I-PER
hendrix	I-PER	I-PER
was	O	O
sold	O	O
for	O	O
almost	O	O
$	O	O
17,000	O	O
on	O	O
thursday	O	O
at	O	O
an	O	O
auction	O	O
of	O	O
some	O	O
of	O	O
the	O	O
late	O	O
musician	O	O
's	O	O
favourite	O	O
possessions	O	O
.	O	O

a	O	O
florida	I-LOC	I-LOC
restaurant	O	O
paid	O	O
$UNK$	O	O
pounds	O	O
(	O	O
$	O	O
$UNK$	O	O
)	O	O
for	O	O
the	O	O
draft	O	O
of	O	O
"	O	O
ai	I-MISC	I-MISC
n't	I-MISC	I-MISC
no	I-MISC	I-MISC
telling	I-MISC	I-MISC
"	O	O
,	O	O
which	O	O
hendrix	I-PER	I-PER
penned	O	O
on	O	O
a	O	O
piece	O	O
of	O	O
london	I-LOC	I-LOC
hotel	O	O
stationery	O	O
in	O	O
late	O	O
1966	O	O
.	O	O

at	O	O
the	O	O
end	O	O
of	O	O
a	O	O
january	O	O
1967	O	O
concert	O	O
in	O	O
the	O	O
english	I-MISC	I-MISC
city	O	O
of	O	O
nottingham	I-LOC	I-LOC
he	O	O
threw	O	O
the	O	O
sheet	O	O
of	O	O
paper	O	O
into	O	O
the	O	O
audience	O	O
,	O	O
where	O	O
it	O	O
was	O	O
retrieved	O	O
by	O	O
a	O	O
fan	O	O
.	O	O

buyers	O	O
also	O	O
snapped	O	O
up	O	O
16	O	O
other	O	O
items	O	O
that	O	O
were	O	O
put	O	O
up	O	O
for	O	O
auction	O	O
by	O	O
hendrix	I-PER	I-PER
's	O	O
former	O	O
girlfriend	O	O
kathy	I-PER	I-PER
etchingham	I-PER	I-PER
,	O	O
who	O	O
lived	O	O
with	O	O
him	O	O
from	O	O
1966	O	O
to	O	O
1969	O	O
.	O	O

they	O	O
included	O	O
a	O	O
black	O	O
lacquer	O	O
and	O	O
mother	O	O
of	O	O
pearl	O	O
inlaid	O	O
box	O	O
used	O	O
by	O	O
hendrix	I-PER	I-PER
to	O	O
store	O	O
his	O	O
drugs	O	O
,	O	O
which	O	O
an	O	O
anonymous	O	O
australian	I-MISC	I-MISC
purchaser	O	O
bought	O	O
for	O	O
5,060	O	O
pounds	O	O
(	O	O
$	O	O
$UNK$	O	O
)	O	O
.	O	O

the	O	O
guitarist	O	O
died	O	O
of	O	O
a	O	O
drugs	O	O
overdose	O	O
in	O	O
1970	O	O
aged	O	O
27	O	O
.	O	O

china	I-LOC	I-LOC
says	O	O
taiwan	I-LOC	I-LOC
spoils	O	O
atmosphere	O	O
for	O	O
talks	O	O
.	O	O

beijing	I-LOC	I-LOC
$UNK$	O	O

china	I-LOC	I-LOC
on	O	O
thursday	O	O
accused	O	O
taipei	I-LOC	I-LOC
of	O	O
spoiling	O	O
the	O	O
atmosphere	O	O
for	O	O
a	O	O
resumption	O	O
of	O	O
talks	O	O
across	O	O
the	O	O
taiwan	I-LOC	I-LOC
strait	I-LOC	I-LOC
with	O	O
a	O	O
visit	O	O
to	O	O
ukraine	I-LOC	I-LOC
by	O	O
taiwanese	I-MISC	I-MISC
vice	O	O
president	O	O
lien	I-PER	I-PER
chan	I-PER	I-PER
this	O	O
week	O	O
that	O	O
infuriated	O	O
beijing	I-LOC	I-LOC
.	O	O

speaking	O	O
only	O	O
hours	O	O
after	O	O
chinese	I-MISC	I-MISC
state	O	O
media	O	O
said	O	O
the	O	O
time	O	O
was	O	O
right	O	O
to	O	O
engage	O	O
in	O	O
political	O	O
talks	O	O
with	O	O
taiwan	I-LOC	I-LOC
,	O	O
foreign	I-ORG	I-ORG
ministry	I-ORG	I-ORG
spokesman	O	O
shen	I-PER	I-PER
guofang	I-PER	I-PER
told	O	O
reuters	I-ORG	I-ORG
:	O	O
"	O	O
the	O	O
necessary	O	O
atmosphere	O	O
for	O	O
the	O	O
opening	O	O
of	O	O
the	O	O
talks	O	O
has	O	O
been	O	O
disrupted	O	O
by	O	O
the	O	O
taiwan	I-LOC	I-LOC
authorities	O	O
.	O	O
"	O	O

state	O	O
media	O	O
quoted	O	O
china	I-LOC	I-LOC
's	O	O
top	O	O
negotiator	O	O
with	O	O
taipei	I-LOC	I-LOC
,	O	O
tang	I-PER	I-PER
shubei	I-PER	I-PER
,	O	O
as	O	O
telling	O	O
a	O	O
visiting	O	O
group	O	O
from	O	O
taiwan	I-LOC	I-LOC
on	O	O
wednesday	O	O
that	O	O
it	O	O
was	O	O
time	O	O
for	O	O
the	O	O
rivals	O	O
to	O	O
hold	O	O
political	O	O
talks	O	O
.	O	O

"	O	O
now	O	O
is	O	O
the	O	O
time	O	O
for	O	O
the	O	O
two	O	O
sides	O	O
to	O	O
engage	O	O
in	O	O
political	O	O
talks	O	O
...	O	O

that	O	O
is	O	O
to	O	O
end	O	O
the	O	O
state	O	O
of	O	O
hostility	O	O
,	O	O
"	O	O
thursday	O	O
's	O	O
overseas	O	O
edition	O	O
of	O	O
the	O	O
people	I-ORG	O
's	I-ORG	O
daily	I-ORG	O
quoted	O	O
tang	I-PER	I-PER
as	O	O
saying	O	O
.	O	O

the	O	O
foreign	O	O
ministry	O	O
's	O	O
shen	I-ORG	I-PER
told	O	O
reuters	I-ORG	I-ORG
television	I-ORG	O
in	O	O
an	O	O
interview	O	O
he	O	O
had	O	O
read	O	O
reports	O	O
of	O	O
tang	I-PER	I-PER
's	O	O
comments	O	O
but	O	O
gave	O	O
no	O	O
details	O	O
of	O	O
why	O	O
the	O	O
negotiator	O	O
had	O	O
considered	O	O
the	O	O
time	O	O
right	O	O
for	O	O
talks	O	O
with	O	O
taiwan	I-LOC	I-LOC
,	O	O
which	O	O
beijing	I-LOC	I-LOC
considers	O	O
a	O	O
renegade	O	O
province	O	O
.	O	O

china	I-LOC	I-LOC
,	O	O
which	O	O
has	O	O
long	O	O
opposed	O	O
all	O	O
taipei	I-LOC	I-LOC
efforts	O	O
to	O	O
gain	O	O
greater	O	O
international	O	O
recognition	O	O
,	O	O
was	O	O
infuriated	O	O
by	O	O
a	O	O
visit	O	O
to	O	O
ukraine	I-LOC	I-LOC
this	O	O
week	O	O
by	O	O
taiwanese	I-MISC	I-MISC
vice	O	O
president	O	O
lien	I-PER	I-PER
.	O	O

china	I-LOC	I-LOC
says	O	O
time	O	O
right	O	O
for	O	O
taiwan	I-LOC	I-LOC
talks	O	O
.	O	O

beijing	I-LOC	I-LOC
$UNK$	O	O

china	I-LOC	I-LOC
has	O	O
said	O	O
it	O	O
was	O	O
time	O	O
for	O	O
political	O	O
talks	O	O
with	O	O
taiwan	I-LOC	I-LOC
and	O	O
that	O	O
the	O	O
rival	O	O
island	O	O
should	O	O
take	O	O
practical	O	O
steps	O	O
towards	O	O
that	O	O
goal	O	O
.	O	O

consultations	O	O
should	O	O
be	O	O
held	O	O
to	O	O
set	O	O
the	O	O
time	O	O
and	O	O
format	O	O
of	O	O
the	O	O
talks	O	O
,	O	O
the	O	O
official	O	O
xinhua	I-ORG	I-ORG
news	O	O
agency	O	O
quoted	O	O
tang	I-PER	I-PER
shubei	I-PER	I-PER
,	O	O
executive	O	O
vice	O	O
chairman	O	O
of	O	O
the	O	O
association	I-ORG	I-ORG
for	I-ORG	I-ORG
relations	I-ORG	I-ORG
across	I-ORG	I-ORG
the	I-ORG	I-ORG
taiwan	I-ORG	I-ORG
straits	I-ORG	I-ORG
,	O	O
as	O	O
saying	O	O
late	O	O
on	O	O
wednesday	O	O
.	O	O

german	I-MISC	I-MISC
july	O	O
car	O	O
registrations	O	O
up	O	O
14.2	O	O
pct	O	O
yr	O	O
/	O	O
yr	O	O
.	O	O

frankfurt	I-LOC	I-LOC
$UNK$	O	O

german	I-MISC	I-MISC
first-time	O	O
registrations	O	O
of	O	O
motor	O	O
vehicles	O	O
jumped	O	O
14.2	O	O
percent	O	O
in	O	O
july	O	O
this	O	O
year	O	O
from	O	O
the	O	O
$UNK$	O	O
period	O	O
,	O	O
the	O	O
federal	I-ORG	O
office	I-ORG	O
for	I-ORG	O
motor	I-ORG	I-ORG
vehicles	I-ORG	I-ORG
said	O	O
on	O	O
thursday	O	O
.	O	O

the	O	O
office	O	O
said	O	O
$UNK$	O	O
new	O	O
cars	O	O
were	O	O
registered	O	O
in	O	O
july	O	O
1996	O	O
--	O	O
$UNK$	O	O
passenger	O	O
cars	O	O
and	O	O
$UNK$	O	O
trucks	O	O
.	O	O

the	O	O
figures	O	O
represent	O	O
a	O	O
13.6	O	O
percent	O	O
increase	O	O
for	O	O
passenger	O	O
cars	O	O
and	O	O
a	O	O
2.2	O	O
percent	O	O
decline	O	O
for	O	O
trucks	O	O
from	O	O
july	O	O
1995	O	O
.	O	O

$UNK$	O	O
registration	O	O
rose	O	O
32.7	O	O
percent	O	O
in	O	O
the	O	O
period	O	O
.	O	O

the	O	O
growth	O	O
was	O	O
partly	O	O
due	O	O
to	O	O
an	O	O
increased	O	O
number	O	O
of	O	O
germans	I-MISC	I-MISC
buying	O	O
german	I-MISC	I-MISC
cars	O	O
abroad	O	O
,	O	O
while	O	O
manufacturers	O	O
said	O	O
that	O	O
domestic	O	O
demand	O	O
was	O	O
weak	O	O
,	O	O
the	O	O
federal	O	O
office	O	O
said	O	O
.	O	O

almost	O	O
all	O	O
german	I-MISC	I-MISC
car	O	O
manufacturers	O	O
posted	O	O
gains	O	O
in	O	O
registration	O	O
numbers	O	O
in	O	O
the	O	O
period	O	O
.	O	O

volkswagen	I-ORG	I-ORG
ag	I-ORG	I-ORG
won	O	O
$UNK$	O	O
registrations	O	O
,	O	O
slightly	O	O
more	O	O
than	O	O
a	O	O
quarter	O	O
of	O	O
the	O	O
total	O	O
.	O	O

opel	I-ORG	I-ORG
ag	I-ORG	I-ORG
together	O	O
with	O	O
general	I-ORG	I-ORG
motors	I-ORG	I-ORG
came	O	O
in	O	O
second	O	O
place	O	O
with	O	O
$UNK$	O	O
registrations	O	O
,	O	O
16.4	O	O
percent	O	O
of	O	O
the	O	O
overall	O	O
figure	O	O
.	O	O

third	O	O
was	O	O
ford	I-ORG	I-ORG
with	O	O
$UNK$	O	O
registrations	O	O
,	O	O
or	O	O
11.7	O	O
percent	O	O
.	O	O

only	O	O
seat	I-ORG	O
and	O	O
porsche	I-ORG	I-ORG
had	O	O
fewer	O	O
registrations	O	O
in	O	O
july	O	O
1996	O	O
compared	O	O
to	O	O
last	O	O
year	O	O
's	O	O
july	O	O
.	O	O

seat	I-ORG	O
posted	O	O
3,420	O	O
registrations	O	O
compared	O	O
with	O	O
$UNK$	O	O
registrations	O	O
in	O	O
july	O	O
a	O	O
year	O	O
earlier	O	O
.	O	O

porsche	I-ORG	I-ORG
's	O	O
registrations	O	O
fell	O	O
to	O	O
554	O	O
from	O	O
643	O	O
.	O	O

greek	I-MISC	I-MISC
socialists	O	O
give	O	O
green	O	O
light	O	O
to	O	O
pm	O	O
for	O	O
elections	O	O
.	O	O

athens	I-LOC	I-LOC
$UNK$	O	O

the	O	O
greek	I-MISC	I-MISC
socialist	O	O
party	O	O
's	O	O
executive	O	O
bureau	O	O
gave	O	O
the	O	O
green	O	O
light	O	O
to	O	O
prime	O	O
minister	O	O
costas	I-PER	I-PER
simitis	I-PER	I-PER
to	O	O
call	O	O
snap	O	O
elections	O	O
,	O	O
its	O	O
general	O	O
secretary	O	O
costas	I-PER	I-PER
skandalidis	I-PER	I-PER
told	O	O
reporters	O	O
.	O	O

prime	O	O
minister	O	O
costas	I-PER	I-PER
simitis	I-PER	I-PER
is	O	O
going	O	O
to	O	O
make	O	O
an	O	O
official	O	O
announcement	O	O
after	O	O
a	O	O
cabinet	O	O
meeting	O	O
later	O	O
on	O	O
thursday	O	O
,	O	O
said	O	O
skandalidis	I-PER	I-PER
.	O	O

--	O	O
dimitris	I-PER	I-PER
kontogiannis	I-PER	I-PER
,	O	O
athens	I-ORG	I-ORG
newsroom	I-ORG	I-ORG
$UNK$	O	O
$UNK$	O	O

$UNK$	I-ORG	I-ORG
sets	O	O
c$	I-MISC	I-MISC
100	O	O
million	O	O
six-year	O	O
bond	O	O
.	O	O

london	I-LOC	I-LOC
$UNK$	O	O

the	O	O
following	O	O
bond	O	O
was	O	O
announced	O	O
by	O	O
lead	O	O
manager	O	O
toronto	I-PER	I-ORG
dominion	I-PER	I-ORG
.	O	O

borrower	O	O
bayerische	I-ORG	I-ORG
vereinsbank	I-ORG	I-ORG

amt	O	O
c$	I-MISC	I-MISC
100	O	O
mln	O	O
coupon	O	O
6.625	O	O
maturity	O	O
$UNK$	O	O

type	O	O
straight	O	O
iss	O	O
price	O	O
100.92	O	O
pay	O	O
date	O	O
$UNK$	O	O

full	O	O
fees	O	O
1.875	O	O
$UNK$	O	O
99.32	O	O
spread	O	O
+20	O	O
bp	O	O

moody	O	I-ORG
aa1	O	O
listing	O	O
lux	O	I-ORG
pay	O	O
freq	O	O
=	O	O

s&p	I-ORG	O
=	O	O
$UNK$	O	O
(	O	O
k	O	O
)	O	O
$UNK$	O	O
sale	O	O
limits	O	O
us	I-LOC	O
/	O	O
uk	I-LOC	I-LOC
/	O	O
ca	I-LOC	I-LOC

neg	O	O
plg	O	O
no	O	O
crs	O	O
$UNK$	O	O
no	O	O
force	O	O
maj	O	O
=	O	O

gov	O	O
law	O	O
german	I-MISC	I-MISC
home	O	O
$UNK$	O	O
=	O	O
tax	O	O
$UNK$	O	O
standard	O	O

mgt	O	O
/	O	O
und	O	O
0.275	O	O
sell	O	O
conc	O	O
1.60	O	O
$UNK$	O	O
=	O	O

underlying	O	O
govt	O	O
bond	O	O
7.0	O	O
pct	O	O
sept	O	O
2001	O	O

notes	O	O
bayerische	I-ORG	I-ORG
vereinsbank	I-ORG	I-ORG
is	O	O
joint	O	O
lead	O	O
manager	O	O

--	O	O
london	I-ORG	I-ORG
newsroom	I-ORG	I-ORG
+44	O	O
171	O	O
542	O	O
$UNK$	O	O

venantius	I-ORG	I-ORG
sets	O	O
$	O	O
300	O	O
million	O	O
january	O	O
1999	O	O
frn	O	O
.	O	O

london	I-LOC	I-LOC
$UNK$	O	O

the	O	O
following	O	O
$UNK$	O	O
issue	O	O
was	O	O
announced	O	O
by	O	O
lead	O	O
manager	O	O
lehman	I-ORG	I-ORG
brothers	I-ORG	I-ORG
international	I-ORG	I-ORG
.	O	O

borrower	O	O
venantius	I-ORG	I-ORG
ab	I-ORG	I-ORG
(	O	O
swedish	I-MISC	I-MISC
national	O	O
mortgage	O	O
agency	O	O
)	O	O

amt	O	O
$	O	O
300	O	O
mln	O	O
spread	O	O
-	O	O
12.5	O	O
bp	O	O
maturity	O	O
$UNK$	O	O

type	O	O
frn	O	O
base	O	O
3m	I-ORG	O
libor	O	O
pay	O	O
date	O	O
$UNK$	O	O

last	O	O
moody	O	O
aa3	O	O
iss	O	I-ORG
price	O	O
$UNK$	O	O
full	O	O
fees	O	O
10	O	O
bp	O	O

last	O	O
s&p	I-ORG	I-ORG
$UNK$	O	O
$UNK$	O	O
=	O	O

notes	O	O
s	O	O
short	O	O
first	O	O
coupon	O	O

listing	O	O
london	I-LOC	I-LOC
$UNK$	O	O
(	O	O
k	O	O
)	O	O
$UNK$	O	O
sale	O	O
limits	O	O
us	I-LOC	O
/	O	O
uk	I-LOC	I-LOC
/	O	O
jp	I-LOC	I-LOC
/	O	O
fr	I-LOC	I-LOC

neg	O	O
plg	O	O
yes	O	O
crs	O	O
$UNK$	O	O
no	O	O
force	O	O
maj	O	O
$UNK$	O	I-ORG
2	O	O

gov	O	O
law	O	O
english	I-MISC	I-MISC
home	O	O
$UNK$	O	I-ORG
sweden	I-LOC	I-LOC
tax	O	O
$UNK$	O	O
standard	O	O

mgt	O	O
/	O	O
und	O	I-ORG
5	O	O
bp	O	I-ORG
sell	O	O
conc	O	O
5	O	O
bp	O	O
$UNK$	O	O
=	O	O

notes	O	O
issued	O	O
off	O	O
$UNK$	O	O
programme	O	O

--	O	O
london	I-ORG	I-ORG
newsroom	I-ORG	I-ORG
+44	O	O
171	O	O
542	O	O
$UNK$	O	O

port	O	O
conditions	O	O
update	O	O
-	O	O
syria	I-LOC	I-LOC
-	O	O
lloyds	I-ORG	I-ORG
shipping	I-ORG	I-ORG
.	O	O

port	O	O
conditions	O	O
from	O	O
lloyds	I-ORG	I-ORG
shipping	I-ORG	I-ORG
intelligence	I-ORG	I-ORG
service	I-ORG	I-ORG
--	O	O

lattakia	I-LOC	I-LOC
,	O	O
aug	O	O
10	O	O
-	O	O
waiting	O	O
time	O	O
at	O	O
lattakia	I-LOC	I-LOC
and	O	O
tartous	I-LOC	I-LOC
presently	O	O
24	O	O
hours	O	O
.	O	O

israel	I-LOC	I-LOC
plays	O	O
down	O	O
fears	O	O
of	O	O
war	O	O
with	O	O
syria	I-LOC	I-LOC
.	O	O

colleen	I-PER	I-PER
siegel	I-PER	I-PER

jerusalem	I-LOC	I-LOC
$UNK$	O	O

israel	I-LOC	I-LOC
's	O	O
outgoing	O	O
peace	O	O
negotiator	O	O
with	O	O
syria	I-LOC	I-LOC
said	O	O
on	O	O
thursday	O	O
current	O	O
tensions	O	O
between	O	O
the	O	O
two	O	O
countries	O	O
appeared	O	O
to	O	O
be	O	O
a	O	O
storm	O	O
in	O	O
a	O	O
teacup	O	O
.	O	O

itamar	I-PER	I-PER
rabinovich	I-PER	I-PER
,	O	O
who	O	O
as	O	O
israel	I-LOC	I-LOC
's	O	O
ambassador	O	O
to	O	O
washington	I-LOC	I-LOC
conducted	O	O
unfruitful	O	O
negotiations	O	O
with	O	O
syria	I-LOC	I-LOC
,	O	O
told	O	O
israel	I-ORG	I-LOC
radio	I-ORG	O
it	O	O
looked	O	O
like	O	O
damascus	I-LOC	I-LOC
wanted	O	O
to	O	O
talk	O	O
rather	O	O
than	O	O
fight	O	O
.	O	O

"	O	O
it	O	O
appears	O	O
to	O	O
me	O	O
the	O	O
syrian	I-MISC	I-MISC
priority	O	O
is	O	O
still	O	O
to	O	O
negotiate	O	O
.	O	O

the	O	O
syrians	I-MISC	I-MISC
are	O	O
confused	O	O
,	O	O
they	O	O
are	O	O
definitely	O	O
tense	O	O
,	O	O
but	O	O
the	O	O
general	O	O
assessment	O	O
here	O	O
in	O	O
washington	I-LOC	I-LOC
is	O	O
that	O	O
this	O	O
is	O	O
essentially	O	O
a	O	O
storm	O	O
in	O	O
a	O	O
teacup	O	O
,	O	O
"	O	O
he	O	O
said	O	O
.	O	O

rabinovich	I-PER	I-PER
is	O	O
winding	O	O
up	O	O
his	O	O
term	O	O
as	O	O
ambassador	O	O
.	O	O

he	O	O
will	O	O
be	O	O
replaced	O	O
by	O	O
eliahu	I-PER	I-PER
$UNK$	I-PER	I-PER
,	O	O
a	O	O
former	O	O
israeli	I-MISC	I-MISC
envoy	O	O
to	O	O
egypt	I-LOC	I-LOC
and	O	O
right-wing	O	O
likud	I-ORG	I-ORG
party	O	O
politician	O	O
.	O	O

israel	I-LOC	I-LOC
on	O	O
wednesday	O	O
sent	O	O
syria	I-LOC	I-LOC
a	O	O
message	O	O
,	O	O
via	O	O
washington	I-LOC	I-LOC
,	O	O
saying	O	O
it	O	O
was	O	O
committed	O	O
to	O	O
peace	O	O
and	O	O
wanted	O	O
to	O	O
open	O	O
negotiations	O	O
without	O	O
preconditions	O	O
.	O	O

but	O	O
it	O	O
slammed	O	O
damascus	I-LOC	I-LOC
for	O	O
creating	O	O
what	O	O
it	O	O
called	O	O
a	O	O
dangerous	O	O
atmosphere	O	O
.	O	O

syria	I-LOC	I-LOC
accused	O	O
israel	I-LOC	I-LOC
on	O	O
wednesday	O	O
of	O	O
launching	O	O
a	O	O
hysterical	O	O
campaign	O	O
against	O	O
it	O	O
after	O	O
israeli	I-MISC	I-MISC
television	O	O
reported	O	O
that	O	O
damascus	I-LOC	I-LOC
had	O	O
recently	O	O
test	O	O
fired	O	O
a	O	O
missile	O	O
.	O	O

it	O	O
said	O	O
its	O	O
arms	O	O
purchases	O	O
